"編號","單字","詞性","中文意思","英文例句","例句翻譯"
"81","any","adj./pron.","任何的","Do you have any questions?","你有任何問題嗎？"
"82","anybody","pron.","任何人","Is anybody in the kitchen?","有人在廚房裡嗎？"
"83","anyone","pron.","任何人","Does anyone know the answer?","有誰知道答案嗎？"
"84","anything","pron.","任何東西","I don't know anything about the plan.","關於這個計畫我什麼都不知道。"
"85","anyway","adv.","無論如何，反正","It was raining, but we went out anyway.","當時正在下雨，但無論如何我們還是出門了。"
"86","anywhere","adv.","任何地方","I can't find my keys anywhere.","我在任何地方都找不到我的鑰匙。"
"87","apartment","n.","公寓","They live in a small apartment in Taipei.","他們住在台北的一間小公寓裡。"
"88","apologize","v.","道歉","You should apologize to her for being late.","你應該因為遲到而向她道歉。"
"89","appear","v.","出現，似乎是","A rainbow appeared after the heavy rain.","大雨過後出現了一道彩虹。"
"90","appearance","n.","出現，外表","Don't judge a person by their appearance.","不要以貌取人。"
"91","apple","n.","蘋果","An apple a day keeps the doctor away.","一天一蘋果，醫生遠離我。"
"92","appreciate","v.","感激、欣賞","I really appreciate your help.","我真的很感激你的幫忙。"
"93","apron","n.","圍裙","She wore a white apron in the kitchen.","她在廚房裡穿著一件白圍裙。"
"94","April","n.","四月","April is the fourth month of the year.","四月是一年之中的第四個月。"
"95","area","n.","區域、面積","There is a play area for children in the park.","公園裡有一個兒童遊戲區。"
"96","argue","v.","爭論","Don't argue with your sister about the toy.","不要為了玩具跟你姊姊爭論。"
"97","arm","n.","手臂","He broke his left arm during the soccer game.","他在足球比賽中弄斷了左手臂。"
"98","armchair","n.","扶手椅","My grandfather loves to sit in his favorite armchair.","我爺爺喜歡坐在他最愛的扶手椅上。"
"99","army","n.","軍隊","He joined the army after graduating from high school.","他高中畢業後加入了軍隊。"
"100","around","prep./adv.","在...周圍、大約","We walked around the lake this morning.","我們今天早上繞著湖散步。"
"101","arrange","v.","安排、排列","Please help me arrange these books on the shelf.","請幫我把這些書在書架上排列好。"
"102","arrest","v./n.","逮捕","The police arrived to arrest the thief.","警方趕到並逮捕了小偷。"
"103","arrive","v.","到達","What time will the train arrive at the station?","火車什麼時候會到達車站？"
"104","art","n.","藝術","She loves art and enjoys painting pictures.","她喜愛藝術且享受畫畫。"
"105","article","n.","文章","I read an interesting article about space travel.","我讀了一篇關於太空旅行的有趣文章。"
"106","artist","n.","藝術家","The young artist drew a beautiful portrait.","這位年輕的藝術家畫了一幅美麗的肖像。"
"107","as","prep./conj./adv.","如同、當...時、作為","He works as a volunteer at the local hospital.","他在當地醫院擔任志工。"
"108","ash","n.","灰","The volcano threw smoke and ash into the sky.","火山向天空中噴出煙霧和火山灰。"
"109","ashamed","adj.","羞愧的","You should not be ashamed of asking for help.","你不應該因為尋求幫助而感到羞愧。"
"110","Asia","n.","亞洲","China and Japan are countries in Asia.","中國和日本是亞洲的國家。"
"111","Asian","adj./n.","亞洲的、亞洲人","We love eating Asian food like sushi and rice.","我們喜歡吃像壽司和米飯這樣的亞洲食物。"
"112","ask","v.","問、要求","If you don't know the way, you can ask a policeman.","如果你不知道路，你可以問警察。"
"113","asleep","adj.","睡著的","The baby is fast asleep in the crib.","寶寶在嬰兒床裡熟睡著。"
"114","assistant","n.","助理","The shop assistant was very polite and helpful.","店員非常客氣且樂於助人。"
"115","at","prep.","在","We will meet at the entrance of the theater.","我們將在劇院門口見面。"
"116","attack","v./n.","攻擊","The dog will not attack you if you stay still.","如果你保持不動，那隻狗就不會攻擊你。"
"117","attend","v.","出席、參加","All students must attend the morning meeting.","所有學生都必須出席晨會。"
"118","attention","n.","注意、商業考慮","Please pay attention to the safety rules.","請注意安全規則。"
"119","audience","n.","觀眾","The audience clapped loudly after the performance.","表演結束後，觀眾大聲鼓掌。"
"120","August","n.","八月","Our summer vacation usually ends in late August.","我們的暑假通常在八月底結束。"
"121","aunt","n.","伯母、阿姨、嬸嬸、舅媽","My aunt bought me a beautiful dress for my birthday.","我阿姨買了一件漂亮的洋裝送我當生日禮物。"
"122","Australia","n.","澳洲、澳大利亞","Kangaroos are native animals of Australia.","袋鼠是澳洲特有的動物。"
"123","Australian","adj./n.","澳洲的、澳大利亞的；澳洲人","He has a unique Australian accent.","他有一種獨特的澳洲口音。"
"124","autumn","n.","秋天、秋季","The leaves change colors and fall in autumn.","樹葉在秋天會變色並掉落。"
"125","available","adj.","可得到的、可用的、有空的","Is this seat available, or is someone sitting here?","這個座位有人坐嗎（可以使用嗎）？"
"126","avoid","v.","避免、躲避","You should avoid eating too much junk food.","你應該避免吃太多垃圾食物。"
"127","aware","adj.","意識到的、知道的","She was not aware of the change in the schedule.","她沒有意識到行程上的變更。"
"128","away","adv.","離開、在遠處","Please put your toys away before dinner.","請在晚餐前把你的玩具收起來。"
"129","baby","n.","嬰兒","The baby fell asleep while listening to the music.","寶寶聽著音樂時睡著了。"
"130","back","n./adv./adj./v.","背部、後面；向後；後面的；支持","He carried a heavy backpack on his back.","他背上背著一個沉重的背包。"
"131","backward","adv./adj.","向後地；向後的","She took a step backward to look at the painting.","她向後退了一步來欣賞那幅畫。"
"132","bad","adj.","壞的、不好的","Eating too much sugar is bad for your teeth.","吃太多糖對你的牙齒不好。"
"133","badminton","n.","羽毛球","We often play badminton in the park on weekends.","我們週末經常在公園打羽毛球。"
"134","bag","n./v.","袋子、包包；把...裝入袋中","She put her books into her school bag.","她把書放進書包裡。"
"135","bake","v.","烘烤、烤","My mother loves to bake delicious cookies.","我媽媽喜歡烤美味的餅乾。"
"136","bakery","n.","麵包店","The bread from that bakery smells wonderful.","那家麵包店的麵包聞起來很香。"
"137","balcony","n.","陽台","We can see the beautiful sunset from our balcony.","我們可以從我們的陽台看到美麗的夕陽。"
"138","ball","n.","球、舞會","The dog ran after the ball in the yard.","狗在院子裡追著球跑。"
"139","balloon","n.","氣球","The little boy was holding a red balloon.","那個小男孩手裡拿著一個紅氣球。"
"140","banana","n.","香蕉","Monkeys love to eat bananas.","猴子喜歡吃香蕉。"
"141","band","n./v.","樂團、帶子；結合","The school band will perform at the ceremony.","學校樂團將在典禮上演出。"
"142","bank","n./v.","銀行、河岸；存入銀行","I need to go to the bank to save some money.","我需要去銀行存點錢。"
"143","banker","n.","銀行家","His father is a successful banker.","他的父親是一位成功的銀行家。"
"144","bar","n./v.","酒吧、條、塊；阻擋","He bought a bar of chocolate for his little sister.","他買了一塊巧克力給他的小妹妹。"
"145","barbecue","n./v.","烤肉","We had a grand barbecue party on Moon Festival.","我們在中秋節舉辦了一個盛大的烤肉派對。"
"146","barber","n.","理髮師","The barber cut my hair very quickly.","理髮師很快地幫我剪了頭髮。"
"147","bark","n./v.","狗叫聲、樹皮；狗叫","The dog started to bark when someone knocked on the door.","當有人敲門時，那隻狗開始叫了。"
"148","base","n./v.","基礎、基地；基於","This movie is based on a true story.","這部電影是根據真實故事改編。"
"149","baseball","n.","棒球","Baseball is one of the most popular sports in Taiwan.","棒球是台灣最受歡迎的運動之一。"
"150","basement","n.","地下室","We store our old furniture in the basement.","我們把舊家具儲存在地下室。"
"151","basic","adj.","基礎的、基本的","Regular exercise is a basic need for health.","定期運動是健康的根本需求。"
"152","basis","n.","基礎、根據","Trust is the basis of a good friendship.","信任是良好友誼的基礎。"
"153","basket","n.","籃子、一籃的量","She put the fresh apples into the basket.","她把新鮮的蘋果放進籃子裡。"
"154","basketball","n.","籃球","My brother loves playing basketball with his friends.","我哥哥喜歡和他的朋友打籃球。"
"155","bat","n./v.","球棒、蝙蝠；揮棒、打擊","The baseball player swung his bat and hit a home run.","棒球選手揮動球棒，打出了一支全壘打。"
"156","bath","n.","洗澡、沐浴","After a long day, I like to take a warm bath.","在忙碌的一天後，我喜歡洗個熱水澡。"
"157","bathroom","n.","浴室、洗手間","Excuse me, where is the bathroom?","請問洗手間在哪裡？"
"158","be","v.","是、存在","I want to be a helpful teacher in the future.","我未來想成為一名樂於助人的老師。"
"159","beach","n.","海灘、海濱","We built a large sandcastle on the beach.","我們在海灘上建造了一座大沙堡。"
"160","bean","n.","豆子","Green beans are very good for your health.","綠豆（四季豆）對你的健康非常有益。"
"161","bear","n./v.","熊；承受、忍受","We saw a big brown bear at the zoo yesterday.","我們昨天在動物園看到了一隻大棕熊。"
"162","beard","n.","下巴的鬍鬚","He decided to grow a beard this winter.","他決定今年冬天留落腮鬍。"
"163","beat","v./n.","打敗、敲擊；拍子、心跳","Our team beat the opponents and won the game.","我們隊擊敗了對手並贏得了比賽。"
"164","beautiful","adj.","美麗的","The flowers in the garden are very beautiful.","花園裡的花非常美麗。"
"165","because","conj.","因為","I stayed at home because it was raining heavily.","我待在客廳因為當時正下著大雨。"
"166","become","v.","變成、成為","The weather has become very cold recently.","最近天氣變得非常冷。"
"167","bed","n.","床","Please go to bed early and get enough sleep.","今晚請早點上床睡覺並獲得充足睡眠。"
"168","bedroom","n.","臥室、房間","My bedroom has a big window and lots of sunlight.","我的臥室有一扇大窗戶且採光充足。"
"169","bee","n.","蜜蜂","A bee is flying around the colorful flowers.","一隻蜜蜂正圍繞著色彩繽紛的花朵飛舞。"
"170","beef","n.","牛肉","I ordered a bowl of delicious beef noodle soup.","我點了一碗美味的牛肉麵。"
"171","beer","n.","啤酒","Adults should not drive after drinking beer.","成人在喝完啤酒後絕不應該開車。"
"172","before","prep./conj./adv.","在...之前","Always wash your hands before eating dinner.","吃晚餐前一定要洗手。"
"173","begin","v.","開始","The English class will begin in five minutes.","英文課將在五分鐘後開始。"
"174","beginner","n.","初學者","This textbook is perfect for an English beginner.","這本教科書非常適合英文初學者。"
"175","beginning","n.","開始、起點","At the beginning of the movie, everything was peaceful.","在電影的開頭，一切都很和平。"
"176","behave","v.","表現、舉止得體","The children behaved very well at the party.","孩子們在派對上表現得非常好。"
"177","behind","prep./adv.","在...後面","The cute cat is hiding behind the sofa.","那隻可愛的貓咪正躲在沙發後面。"
"178","belief","n.","信念、信仰","It is my belief that hard work leads to success.","努力能帶來成功是我的信念。"
"179","believe","v.","相信","I believe you can pass the English test easily.","我相信你能輕鬆通過這場英文考試。"
"180","bell","n.","鈴、鐘","The school bell rang and the class ended.","下課鐘聲響了，課程也結束了。"
"181","birthday","n.","生日","We prepared a big cake for my father's birthday.","我們為我父親的生日準備了一個大蛋糕。"
"182","bit","n./adv.","一點點、一會兒","I am a little bit tired after the long walk.","長途步行後我有一點點累。"
"183","bite","v./n.","咬","Be careful! That dog might bite you.","小心！那隻狗可能會咬你。"
"184","bitter","adj.","苦的、嚴厲的","The medicine tastes bitter, but it is good for you.","這藥吃起來很苦，但對你有好處。"
"185","black","adj./n.","黑色的；黑色","She loves wearing black clothes because they look cool.","她喜歡穿黑色的衣服，因為看起來很酷。"
"186","blackboard","n.","黑板","The teacher wrote the homework on the blackboard.","老師把家庭作業寫在黑板上。"
"187","blame","v./n.","責怪、歸咎","Don't blame others for your own mistakes.","不要為了你自己的錯誤而責怪別人。"
"188","blank","adj./n.","空白的；空白、空格","Please fill in the blanks with the correct answers.","請在空格內填入正確答案。"
"189","blanket","n./v.","毛毯；覆蓋","It's very cold tonight, so I need another blanket.","今晚很冷，所以我需要另一件毛毯。"
"190","blind","adj./v.","盲的、瞎的；使失明","The blind man uses a white cane to walk safely.","那位盲人使用白手杖安全地走路。"
"191","block","n./v.","街區、積木、大樓；阻擋","We walked around the block to get some fresh air.","我們繞著街區散步以呼吸一些新鮮空氣。"
"192","blood","n.","血液、血統","Blood carries oxygen to all parts of the body.","血液將氧氣輸送到身體的各個部位。"
"193","blouse","n.","女襯衫","She wore a beautiful white blouse to the interview.","她穿著一件漂亮的白襯衫去面試。"
"194","blow","v./n.","吹、吹氣；重擊","The wind started to blow hard as the storm arrived.","隨著暴風雨到來，風開始颳得很強（大吹）。"
"195","blue","adj./n.","藍色的；藍色、憂鬱","The sky is clear and blue today.","今天的空中晴朗又蔚藍。"
"196","board","n./v.","木板、董事會、佈告欄；登機、上車","The students read the notice on the bulletin board.","學生們閱讀了公佈欄上的通知。"
"197","boat","n.","小船","They went fishing in a small boat on the lake.","他們搭乘一艘小船在湖上釣魚。"
"198","body","n.","身體","Eating vegetables is good for your body.","吃蔬菜對你的身體有好處。"
"199","boil","v.","沸騰、煮沸","Please boil some water to make hot tea.","請燒（煮沸）一些水來泡熱茶。"
"200","bomb","n./v.","炸彈；轟炸","The soldiers found an old bomb in the fields.","士兵們在田野裡發現了一枚舊炸彈。"
"201","bone","n.","骨頭","The dog loves to chew on a big bone.","這隻狗喜歡啃大骨頭。"
"202","book","n./v.","書本；預訂","Remember to book the hotel room before your trip.","出遊前記得要預訂飯店房間。"
"203","bookcase","n.","書櫃、書架","He put all his favorite novels into the bookcase.","他把他所有最喜歡的小說放進書櫃裡。"
"204","bored","adj.","感到無聊的","I felt bored during the long and dry speech.","在那場漫長又枯燥的演講中我感到很無聊。"
"205","boring","adj.","令人無聊的","This movie is so boring that I fell asleep.","這部電影太無聊了，以至於我睡著了。"
"206","born","adj.","出生的、天生的","She was born in a small, beautiful town in 2010.","她於 2010 年出生在一個美麗的小鎮。"
"207","borrow","v.","借入","Can I borrow your English dictionary for a minute?","我可以借用你的英文字典一下嗎？"
"208","boss","n./v.","老闆；指使","My boss is very kind and always helps the team.","我的老闆非常仁慈且總是幫助團隊。"
"209","both","adj./pron./adv.","兩者都","Both of my parents are high school teachers.","我的父母兩者都是高中老師。"
"210","broad","adj.","寬廣的","The river is broad enough for large ships to pass.","這條河流足夠寬廣，可以讓大型船隻通過。"
"211","broadcast","v./n.","廣播、播送","The radio station broadcasts news 24 hours a day.","這家電台一天 24 小時播送新聞。"
"212","brother","n.","兄、弟","My elder brother is a university student.","我的哥哥是一名大學生。"
"213","brown","n./adj.","褐色、棕色；褐色的","She has beautiful brown eyes.","她有一雙美麗的棕色眼睛。"
"214","brunch","n.","早午餐","We usually have brunch together on Sundays.","我們通常在星期日一起吃早午餐。"
"215","brush","n./v.","刷子；刷、梳","Don't forget to brush your teeth before bed.","睡前別忘了刷牙。"
"216","bucket","n.","水桶","He filled the bucket with water to clean the floor.","他把水桶裝滿水來清理地板。"
"217","buffet","n./v.","自助餐；打擊","The hotel offers a delicious buffet dinner.","這家飯店提供美味的自助晚餐。"
"218","bug","n.","昆蟲、小蟲","There is a small bug on the green leaf.","綠色的葉子上有一隻小昆蟲。"
"219","build","v.","建造、建築","They plan to build a new library here.","他們計畫在這裡建造一座新圖書館。"
"220","building","n.","建築物、大樓","Taipei 101 is a very tall building.","台北 101 是一棟非常高的大樓。"
"221","bun","n.","小圓麵包、饅頭","I bought a sweet cinnamon bun for breakfast.","我買了一個甜肉桂小圓麵包當早餐。"
"222","bundle","n./v.","捆、束、包","He carried a large bundle of firewood.","他抱著一重捆柴火。"
"223","burn","v.","燃燒、燒傷","The campfire burned brightly all night.","營火整晚都明亮地燃燒著。"
"224","burst","v.","爆炸、破裂、猛烈爆發","The balloon burst when it touched the rose thorn.","氣球碰到玫瑰刺時破裂了。"
"225","bus","n.","公車、巴士","I usually take the bus to school every morning.","我每天早上通常搭公車去上學。"
"226","business","n.","生意、商業、事情","He travels to New York on business quite often.","他經常因公出差去紐約談生意。"
"227","businessman","n.","商人、企業家","My uncle is a successful businessman.","我的舅舅是一位成功的商人。"
"228","busy","adj.","忙碌的","She is very busy preparing for her final exams.","她正忙著準備期末考。"
"229","but","conj.","但是","I want to buy this dress, but it is too expensive.","我想買這件洋裝，但是它太貴了。"
"230","butter","n./v.","奶油","Please spread some butter on the toast.","請在吐司上抹一些奶油。"
"231","butterfly","n.","蝴蝶","A beautiful butterfly landed on the pink flower.","一隻美麗的蝴蝶停在粉紅色的花朵上。"
"232","button","n./v.","鈕扣、按鈕；扣上","Press this red button to start the machine.","按下這個紅色的按鈕來啟動機器。"
"233","buy","v./n.","購買","I need to buy some fresh vegetables from the market.","我需要去市場買一些新鮮蔬菜。"
"234","by","prep.","在...旁邊、被、靠、經由","She sits by the window and reads a book.","她坐在窗戶旁邊看書。"
"235","cabbage","n.","高麗菜、甘藍菜","My mom made a delicious salad with cabbage.","我媽媽用高麗菜做了一份美味的沙拉。"
"236","cabinet","n.","櫥櫃、櫃子","Please put the clean cups back into the kitchen cabinet.","請把乾淨的杯子放回廚房的櫥櫃裡。"
"237","cable","n.","電纜、有線電視","We watch movies on cable TV every weekend.","我們每個週末都透過有線電視看電影。"
"238","cafeteria","n.","自助餐廳","Students usually have lunch in the school cafeteria.","學生們通常在學校的自助餐廳吃午餐。"
"239","cage","n./v.","鳥籠、獸籠；關進籠子","The colorful parrot is singing in its cage.","那隻色彩鮮豔的鸚鵡正在牠的籠子裡唱歌。"
"240","cake","n./v.","蛋糕","She baked a chocolate cake for her friend's party.","她為朋友的派對烤了一個巧克力蛋糕。"
"241","calendar","n.","日曆、月曆、行事曆","I marked the exam date on my wall calendar.","我在牆上的日曆上標記了考試日期。"
"242","call","n./v.","呼叫、電話；打電話、稱呼","Please call me when you arrive at the train station.","你到達火車站時請打電話給我。"
"243","calm","adj./v.","平靜的、鎮靜的；使平靜","The sea was very calm and beautiful this morning.","今天早上的大海非常平靜而美麗。"
"244","camera","n.","照相機","He bought a new digital camera to take photos on his trip.","他買了一台新的數位相機以便在旅途中拍照。"
"245","camp","n./v.","營地、露營；紮營","The students set up a camp near the beautiful river.","學生們在美麗的河邊搭起了營地。"
"246","campus","n.","校園","The university campus is very big and full of trees.","這所大學的校園非常大且綠意盎然。"
"247","can","v./n.","能夠、可以；罐頭、金屬罐","You can open this can with a helper tool.","你可以用輔助工具打開這個罐頭。"
"248","Canada","n.","加拿大","Canada is known for its cold winters and maple syrup.","加拿大以其寒冷的冬天和楓糖漿而聞名。"
"249","Canadian","adj./n.","加拿大的；加拿大人","My new English teacher is a very friendly Canadian.","我的新英文老師是一位非常友善的加拿大人。"
"250","cancel","v.","取消","They had to cancel the outdoor flight due to bad weather.","因為天氣惡劣，他們不得不取消戶外飛行班次。"
"251","cancer","n.","癌症","Doctors are working hard to find better ways to cure cancer.","醫生們正努力工作以尋找更好的方法來治癒癌症。"
"252","candle","n.","蠟燭","She lit a small candle when the electricity went out.","停電時，她點燃了一根小蠟燭。"
"253","candy","n.","糖果","Eating too much sweet candy is bad for your teeth.","吃太多甜糖果對你的牙齒不好。"
"254","cap","n./v.","鴨舌帽、蓋子；覆蓋","He always wears a cool baseball cap when playing sports.","他運動時總會戴著一頂酷炫的棒球帽。"
"255","captain","n.","船長、機長、隊長","The captain welcomed all the passengers on board the ship.","船長歡迎所有乘客登船。"
"256","car","n.","汽車","My parents decided to buy a new electric car this year.","我父母決定今年買一輛新的電動汽車。"
"257","card","n.","卡片、紙牌、卡","I sent a handmade birthday card to my grandmother.","我寄了一張手工製作的生日卡片給我的祖母。"
"258","care","n./v.","照顧、在乎、小心","Parents always care deeply about their children's safety.","父母總是深深關心著他們孩子的安全。"
"259","career","n.","職業、生涯","She wants to start a professional career in nursing.","她想開啟護理方面的專業職業生涯。"
"260","careful","adj.","小心的、仔細的","Please be careful when you cross the busy street.","過繁忙的馬路時請小心。"
"261","careless","adj.","粗心的、疏忽的","Making careless mistakes can lower your exam scores.","犯粗心的錯誤會降低你的考試分數。"
"262","carpet","n.","地毯","We laid a soft gray carpet in the cozy living room.","我們在舒適的客廳鋪了柔軟的灰色地毯。"
"263","carrot","n.","胡蘿蔔","Rabbits love eating crunchy and sweet orange carrots.","兔子喜歡吃清脆清甜的橘色胡蘿蔔。"
"264","carry","v.","攜帶、搬運、攜帶","Can you help me carry this heavy box up to the second floor?","你能幫我把這個重箱子搬到二樓嗎？"
"265","cartoon","n.","卡通、漫畫","Children love watching funny cartoons on Saturday mornings.","孩子們喜歡在星期六早上看搞笑的卡通。"
"266","case","n.","案件、箱子、情況","In this special case, we need to change our original plan.","而在這種特殊情況下，我們需要改變原定的計畫。"
"267","cash","n.","現金","I don't have any cash with me, can I pay by credit card?","我身上沒有任何現金，我可以用信用卡付款嗎？"
"268","cassette","n.","卡帶、錄音帶","My father still keeps some old music cassettes from the 90s.","我父親仍然保留著一些 90 年代的舊音樂卡帶。"
"269","castle","n.","城堡","The ancient stone castle stands high on top of the mountain.","古老的石造城堡高高地聳立在山頂上。"
"270","cat","n.","貓","The cute black cat is sleeping peacefully under the sun.","那隻可愛的黑貓正悠閒地在陽光下睡覺。"
"271","catch","v./n.","接住、捕捉、趕上、理解","The baseball player jumped high to catch the ball.","那名棒球選手跳得很高以接住那顆球。"
"272","cause","n./v.","原因、理由、目標；引起、導致","The heavy rain was the main cause of the traffic jam.","大雨是造成交通堵塞的主要原因。"
"273","CD","n.","光碟、雷射唱片","He still likes to listen to music on a CD.","他仍然喜歡用光碟聽音樂。"
"274","ceiling","n.","天花板","There is a beautiful lamp hanging from the ceiling.","天花板上掛著一盞漂亮的小燈。"
